,positions,locations,company_names,posted_dates,descriptions
10,Machine Learning / Data Scientist / AI *** Direct end client ***,"South San Francisco, CA, USA","Projas Technologies, LLC",Posted 60+ days ago,"Immediate need for senior machine learning/AI engineer Prior experience in AI/ML preferably in life sciences/BioTech domainWork closely with chemists, biologists and computational scientists across various departmentsDesign and develop machine learning methods for the analysis of graph and sequence data.ML and AI work on cloud platform (AWS or Google Cloud). Work with massive data sets. Design and build ML/AI algorithmsQualifications PhD in Computer Science, Statistics, Mathematics or, in Chemis"
11,BI Data Architect,"Fort Mill, SC, USA",IDC Technologies,Posted 4 days ago,"We are in Critical need of BI Data Architect for Fulltime Hire in Fort Mill, SC Role : BI Data Architect Location : Fort Mill, SC Duration : Fulltime HireJob Description : 5-10 years combined experience in data architect roleProven work experience as a Data Architect, Data Scientist, Data Analystor similar roleIn-depth understanding of database structure principlesExperience gathering and analyzing system requirementsKnowledge of data mining and segmentation techniquesExpertise in SQL and Oracle"
12,Data Architect,"Fort Mill, SC, USA",MRoads,Posted 4 days ago,"Skill: Data Architect Location: FORT MILL, SC Travelling: Onsite. Experience :10+ Job Description. 5-10 years combined experience in data architect role Proven work experience as a Data Architect, Data Scientist, Data Analyst or similar roleIn-depth understanding of database structure principlesExperience gathering and analyzing system requirementsKnowledge of data mining and segmentation techniquesExpertise in SQL and OracleProficiency in MS ExcelFamiliarity with data visualization toolsProv"
13,Hiring Software Developers - Multiple Technologies for the Client /Project needs across the USA.,"San Francisco, CA, USA",Zaspar Technologies,Posted 20 days ago,"Hiring Software Developers - Multiple Technologies for the Client /Project needs across the USA. Zaspar Technologies is a premier IT staffing and consulting services company based in Santa Clara, CA. Since its inception Zaspar has created a niche in serving fortune 500 customers across North America with a reputation of integrity in offering superior IT solutions. Zaspar provides a range of IT consulting services for ERP/CRM/BI /Cloud Development Solutions. Zaspar Technologies hiring software de"
14,Machine Learning Engineer,Remote,"Resourcesoft, Inc.",Posted 3 days ago,"Requirements: 5 or more years of experience as a Machine Learning Engineer. Experience with Integration and Data extraction. Experience working with information retrieval algorithms. Experience with Machine Learning Solutions. Experience with SQL and Power BI. Experience working with large data sets, both structured and unstructured. Excellent communication skills both written and verbal. Responsibilities: Build data pipelines that pull data from various sources. Build a user interface to intera"
15,Amazon Personalize - Machine Learning Engineer,Remote,Planet Technology LLC,Posted 17 days ago,"Mid and Senior level positions Must have Amazon Personalize experience Design, develop, and deploy machine learning models using Amazon Personalize and other relevant technologies.Bachelor's or Master's degree in Computer Science, Data Science, or a related field.4+ years of experience working with machine learning technologies, including experience with Amazon Personalize.Strong programming skills in Python and at least one other programming language, such as Java or C++.Experience with data e"
16,Data Analyst,"Minneapolis, MN, USA",Amplifon,Posted 11 days ago,"Miracle-Ear, part of AmplifonAmericas, a world leader in hearing care, has a strong demand for diverse, authentic, creative, and dynamic talent for aData Scientist role. We are looking for an individual who isforward thinkingto help us strive towardseveryday excellencewhile focusing oncustomer devotionandpersonal impactto ensure we areacting responsiblyin everything we do. As a Data Scientist, you will find valuable solutions in complex datasets that drive growth initiatives. If you have a passi"
17,SENIOR DATA SCIENTIST_Waltham MA,"Waltham, MA, USA",Bestinfo Systems LLC,Posted 24 days ago,"Job Title: SENIOR DATA SCIENTIST Job Type: Full-Time(FTE) Location: Waltham MA Industry: Pharmaceutical / Biotech Job Category: Research & Development JD: Key Responsibilities Work with project teams in Process Development / CMC to support activities such as process design, optimization, control strategy definition Develop automated data analytics workflow for data visualization, process monitoring and predictive analytics Implement and deploy machine learning / multivariate models to drive nov"
18,Sr Devops/Build/Architect,"Oakland, CA, USA","Infonex Technologies, Inc.",Posted 60+ days ago,"Position: Sr Data Scientist -Open Position-CA Type: contract Duration: 12- months Location: Oakland, CA (Hybrid) Required Skills: Data Scientist with 10 years of experience Python Apache Airlfow MapR Pytorch Openshift Containers Healthcare experience preferred <>Please do reply to me with your updated resume with the hourly rates ASAP"
19,Tableau Reporting Development Lead,"New York, NY, USA",Icon Parking Systems,Posted 13 days ago,"SUMMARY OF POSITION: Icon Parking is looking for a Tableau Reporting Development Lead who is passionate about data visualization and generating actionable insights from raw data. You will join the Insights & Analytics team, a team tasked with developing insights and reporting to support our business strategy and executive reporting needs. The Insights & Analytics team is part of the company s Commercial function, and supports the analytics needs for the entire company. The majority of your work"
